Hub_Name,1. Late night[00-05],2. Early Morning [06-08],3. Morning [09-11],4. Lunch [12-14],5. Early evening[15-17],6. Evening [18-20],7. Night [21-23]
Ghz_102_Lohia Nagar Arya Nagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Site_047_D_Indirapuram,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Site_072_D_Crossing Republic,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Sector-2 Greater Noida,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Avantika Ghaziabad,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Dwarka Sec-10,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Naraina Phase 1,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
GGN Sector 103,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Sector 4 GGN,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Gur_117_GGN Sector 112,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
GGN Sector 23,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
GGN Sector 14,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
GGN Sector 102,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
GGN Sector 10,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
GGN Sector 37,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
PALAM,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Noi_105_Sec-10 Noida,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Surajpur Noida,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Green fields,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Knowledge Park 3,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Zeta 1 Greater Noida,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
noi_107_Omicrin 2,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Noi_114_Gr. Noida Chi-5,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
